"Time (s)","Recording (a.u.)"
9.895833333E-3,3.302017227E-2
9.916666667E-3,3.335653991E-2
9.937500000E-3,3.384080529E-2
9.958333333E-3,3.447334841E-2
9.979166667E-3,3.485905752E-2
1.000000000E-2,3.537405655E-2
1.002083333E-2,3.598922491E-2
1.004166667E-2,3.669744730E-2
1.006250000E-2,3.689214960E-2
1.008333333E-2,3.658773005E-2
1.010416667E-2,3.606569022E-2
1.012500000E-2,3.558929265E-2
1.014583333E-2,3.495531157E-2
1.016666667E-2,3.360283002E-2
1.018750000E-2,3.249131888E-2
1.020833333E-2,3.160674870E-2
1.022916667E-2,3.088864125E-2
1.025000000E-2,3.016516566E-2
1.027083333E-2,2.891987190E-2
1.029166667E-2,2.815448493E-2
1.031250000E-2,2.750012092E-2
1.033333333E-2,2.677998319E-2
1.035416667E-2,2.650022134E-2
1.037500000E-2,2.650092915E-2
1.039583333E-2,2.689792216E-2
1.041666667E-2,2.692284808E-2
1.043750000E-2,2.674238570E-2
1.045833333E-2,2.701764926E-2
1.047916667E-2,2.731266245E-2
1.050000000E-2,2.711954527E-2
1.052083333E-2,2.657257393E-2
1.054166667E-2,2.624665201E-2
1.056250000E-2,2.553546429E-2
1.058333333E-2,2.470022812E-2
1.060416667E-2,2.418658324E-2
1.062500000E-2,2.336068451E-2
1.064583333E-2,2.225467190E-2
1.066666667E-2,2.112806961E-2
1.068750000E-2,2.006771974E-2
1.070833333E-2,1.860969700E-2
1.072916667E-2,1.695891842E-2
1.075000000E-2,1.526622195E-2
1.077083333E-2,1.387752965E-2
1.079166667E-2,1.318132132E-2
1.081250000E-2,1.255772915E-2
1.083333333E-2,1.216595434E-2
1.085416667E-2,1.164665073E-2
1.087500000E-2,1.096668188E-2
1.089583333E-2,1.061622985E-2
1.091666667E-2,1.041112281E-2
1.093750000E-2,1.033073850E-2
1.095833333E-2,1.037204266E-2
1.097916667E-2,1.040832698E-2
1.100000000E-2,1.014832966E-2
1.102083333E-2,9.781131521E-3
1.104166667E-2,9.135343134E-3
1.106250000E-2,8.149510249E-3
1.108333333E-2,7.113608997E-3
1.110416667E-2,6.025769748E-3
1.112500000E-2,4.940216430E-3
1.114583333E-2,3.866580315E-3
1.116666667E-2,3.087913617E-3
1.118750000E-2,2.072594594E-3
1.120833333E-2,6.742122350E-4
1.122916667E-2,-7.792711258E-4
1.125000000E-2,-2.409031615E-3
1.127083333E-2,-3.711000085E-3
1.129166667E-2,-4.892154597E-3
1.131250000E-2,-5.820006132E-3
1.133333333E-2,-6.099776831E-3
1.135416667E-2,-6.261451170E-3
1.137500000E-2,-6.313093938E-3
1.139583333E-2,-6.369412877E-3
1.141666667E-2,-6.781238131E-3
1.143750000E-2,-7.279340178E-3
1.145833333E-2,-7.487877272E-3
1.147916667E-2,-7.947439328E-3
1.150000000E-2,-8.380962536E-3
1.152083333E-2,-8.461271413E-3
1.154166667E-2,-9.568938054E-3
1.156250000E-2,-1.093246508E-2
1.158333333E-2,-1.161193848E-2
1.160416667E-2,-1.236044057E-2
1.162500000E-2,-1.226713415E-2
1.164583333E-2,-1.166153792E-2
1.166666667E-2,-1.196541358E-2
1.168750000E-2,-1.205926202E-2
1.170833333E-2,-1.175657660E-2
1.172916667E-2,-1.142510399E-2
1.175000000E-2,-9.996253997E-3
1.177083333E-2,-8.517817594E-3
1.179166667E-2,-8.076703176E-3
1.181250000E-2,-7.839776576E-3
1.183333333E-2,-7.450235076E-3
1.185416667E-2,-6.761122495E-3
1.187500000E-2,-5.823160987E-3
1.189583333E-2,-5.365897901E-3
1.191666667E-2,-6.006690674E-3
1.193750000E-2,-6.868595257E-3
1.195833333E-2,-6.947525777E-3
1.197916667E-2,-6.812427659E-3
1.200000000E-2,-6.980708800E-3
1.202083333E-2,-7.816656493E-3
1.204166667E-2,-8.991621435E-3
1.206250000E-2,-9.401073679E-3
1.208333333E-2,-9.519794025E-3
1.210416667E-2,-9.714291431E-3
1.212500000E-2,-9.687926620E-3
1.214583333E-2,-9.829547256E-3
1.216666667E-2,-9.618064389E-3
1.218750000E-2,-8.960155770E-3
1.220833333E-2,-8.182647638E-3
1.222916667E-2,-6.833399646E-3
1.225000000E-2,-5.600656848E-3
1.227083333E-2,-4.654187243E-3
1.229166667E-2,-3.418297973E-3
1.231250000E-2,-2.855248516E-3
1.233333333E-2,-3.430112964E-3
1.235416667E-2,-3.804737702E-3
1.237500000E-2,-3.524237778E-3
1.239583333E-2,-3.604209749E-3
1.241666667E-2,-4.319490865E-3
1.243750000E-2,-5.355404690E-3
1.245833333E-2,-6.419610698E-3
1.247916667E-2,-7.346116006E-3
1.250000000E-2,-8.383250795E-3
1.252083333E-2,-9.442779236E-3
1.254166667E-2,-1.025253441E-2
1.256250000E-2,-1.090500876E-2
1.258333333E-2,-1.147449017E-2
1.260416667E-2,-1.162952837E-2
1.262500000E-2,-1.155954786E-2
1.264583333E-2,-1.140543073E-2
1.266666667E-2,-1.049588248E-2
1.268750000E-2,-9.206170216E-3
