"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.066406250E4,3.133124531E-2
1.068750000E4,3.253144487E-2
1.071093750E4,2.745535472E-2
1.073437500E4,3.700178611E-2
1.075781250E4,2.507093749E-2
1.078125000E4,3.975160763E-2
1.080468750E4,3.009791009E-2
1.082812500E4,3.883955510E-2
1.085156250E4,3.060883839E-2
1.087500000E4,3.210017366E-2
1.089843750E4,3.907226192E-2
1.092187500E4,2.561056760E-2
1.094531250E4,2.716711957E-2
1.096875000E4,2.609583400E-2
1.099218750E4,2.995516274E-2
1.101562500E4,3.142524197E-2
1.103906250E4,2.433432187E-2
1.106250000E4,2.961225302E-2
1.108593750E4,3.134548939E-2
1.110937500E4,3.200693827E-2
1.113281250E4,2.641804202E-2
1.115625000E4,3.154082498E-2
1.117968750E4,3.283068185E-2
1.120312500E4,3.826341461E-2
1.122656250E4,2.847652187E-2
1.125000000E4,2.342193380E-2
1.127343750E4,2.800608662E-2
1.129687500E4,2.581554741E-2
1.132031250E4,3.842863049E-2
1.134375000E4,2.153669748E-2
1.136718750E4,2.823453610E-2
1.139062500E4,2.649255184E-2
1.141406250E4,3.341287593E-2
1.143750000E4,1.847830121E-2
1.146093750E4,3.260328377E-2
1.148437500E4,2.750819320E-2
1.150781250E4,2.952474053E-2
1.153125000E4,3.594662067E-2
1.155468750E4,2.761955618E-2
1.157812500E4,3.154825846E-2
1.160156250E4,2.441357082E-2
1.162500000E4,2.678887543E-2
1.164843750E4,2.853794936E-2
1.167187500E4,2.559310167E-2
1.169531250E4,2.504311490E-2
1.171875000E4,2.879960843E-2
1.174218750E4,2.657072435E-2
1.176562500E4,3.042789793E-2
1.178906250E4,3.173845465E-2
1.181250000E4,3.691168898E-2
1.183593750E4,2.956520295E-2
1.185937500E4,2.880528780E-2
1.188281250E4,3.056154949E-2
1.190625000E4,3.732517096E-2
1.192968750E4,2.726151632E-2
1.195312500E4,2.464178046E-2
1.197656250E4,3.022919378E-2
1.200000000E4,3.966133838E-2
1.202343750E4,2.434485619E-2
1.204687500E4,2.744170068E-2
1.207031250E4,2.610173690E-2
1.209375000E4,2.960135582E-2
1.211718750E4,3.212868506E-2
1.214062500E4,2.741571517E-2
1.216406250E4,2.727347511E-2
1.218750000E4,2.559584537E-2
1.221093750E4,3.179846024E-2
1.223437500E4,2.999839212E-2
1.225781250E4,3.040627805E-2
1.228125000E4,2.329532233E-2
1.230468750E4,3.276071564E-2
1.232812500E4,3.011966458E-2
1.235156250E4,2.512151290E-2
1.237500000E4,3.249078452E-2
1.239843750E4,2.394595841E-2
1.242187500E4,2.696503639E-2
1.244531250E4,2.526194750E-2
1.246875000E4,3.368639266E-2
1.249218750E4,2.202227335E-2
1.251562500E4,2.306392323E-2
1.253906250E4,3.376540578E-2
1.256250000E4,3.001668648E-2
1.258593750E4,3.254754688E-2
1.260937500E4,2.141788717E-2
1.263281250E4,3.339407343E-2
1.265625000E4,3.755471255E-2
1.267968750E4,2.543962252E-2
1.270312500E4,1.924480223E-2
1.272656250E4,2.964247323E-2
1.275000000E4,2.324883403E-2
1.277343750E4,2.586829870E-2
1.279687500E4,2.980450093E-2
1.282031250E4,2.692313344E-2
1.284375000E4,3.086147199E-2
