"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.483875333E0,-7.137546769E-2,-3.431877047E-3,2.885074675E-2,7.706231735E-2
2.493803333E0,-4.455678369E-2,-3.948065590E-2,2.571196139E-2,6.484700550E-2
2.503731333E0,-2.909611054E-2,-5.156078417E-2,-2.099852085E-2,6.281748157E-2
2.513660333E0,-6.089284899E-2,-1.494146325E-2,7.887309194E-3,6.319332265E-2
2.523588333E0,-7.015285601E-2,-1.393051621E-2,4.321618617E-2,8.356507186E-2
2.533516333E0,-3.915851543E-2,-4.651752412E-2,-4.685958624E-3,6.098547032E-2
2.543444333E0,-4.487222727E-2,-1.947977968E-2,9.998738766E-5,4.891818265E-2
2.553373333E0,-6.759249275E-2,5.280912817E-3,2.404784381E-2,7.193699958E-2
2.563301333E0,-3.495770212E-2,-3.205487475E-2,6.531924605E-3,4.787715501E-2
2.573229333E0,-4.294302983E-2,-3.801340677E-2,-2.041379929E-2,6.087566104E-2
2.583157333E0,-6.224485772E-2,1.130961142E-3,1.850117505E-2,6.494609198E-2
2.593086333E0,-5.842139538E-2,-1.096400443E-2,5.862067580E-2,8.348444444E-2
2.603014333E0,-3.548764258E-2,-4.240415409E-2,-2.475711107E-2,6.058382300E-2
2.612942333E0,-5.304028048E-2,-1.725220978E-2,9.004712105E-5,5.577560581E-2
2.622870333E0,-6.861777004E-2,-1.243995130E-3,3.587149858E-2,7.743842909E-2
2.632799333E0,-3.261988480E-2,-2.677494865E-2,-9.333325624E-3,4.322112593E-2
2.642727333E0,-3.540420099E-2,-3.056807399E-2,-1.322406292E-2,4.860802850E-2
2.652655333E0,-6.797994388E-2,1.469259113E-3,2.703635573E-2,7.317373862E-2
2.662583333E0,-5.457319658E-2,-2.727623776E-2,3.138259113E-2,6.860826450E-2
2.672512333E0,-3.335545996E-2,-3.556031708E-2,-1.771589398E-2,5.187461575E-2
2.682440333E0,-6.026504532E-2,-1.158041060E-3,1.132371783E-2,6.133060681E-2
2.692368333E0,-6.532264475E-2,-1.510492947E-2,4.799277663E-2,8.245309830E-2
2.702296333E0,-3.632696014E-2,-3.579208609E-2,1.086880445E-2,5.214261568E-2
2.712225333E0,-4.244835082E-2,-2.237071618E-2,-7.542323470E-3,4.857157680E-2
2.722153333E0,-6.923409398E-2,7.395850718E-3,4.065802932E-2,8.062960824E-2
2.732081333E0,-4.472721176E-2,-2.305403642E-2,2.629083574E-2,5.677341024E-2
2.742009333E0,-3.273275434E-2,-4.286951937E-2,-1.106877923E-3,5.394862441E-2
2.751938333E0,-6.203421178E-2,-4.237769544E-3,3.981953859E-3,6.230616405E-2
2.761866333E0,-6.605734739E-2,-6.642875522E-3,4.349860668E-2,7.937146668E-2
2.771794458E0,-3.662974084E-2,-4.646636099E-2,2.033076882E-3,5.920298995E-2
2.781722458E0,-4.527818849E-2,-2.012406975E-2,-1.832985163E-2,5.283063503E-2
2.791651458E0,-7.142207639E-2,-8.638895676E-3,1.774513006E-2,7.409880671E-2
2.801579458E0,-3.734762361E-2,-2.582298540E-2,2.777252018E-2,5.322578737E-2
2.811507458E0,-3.047703101E-2,-2.594493639E-2,-7.556356788E-3,4.073189992E-2
2.821435458E0,-5.383959486E-2,2.946448512E-3,-4.412893653E-3,5.410043589E-2
2.831364458E0,-5.689790335E-2,-1.143547274E-2,4.902597964E-2,7.597162708E-2
2.841292458E0,-2.741130844E-2,-4.011723496E-2,-1.204994202E-2,5.005969910E-2
2.851220458E0,-4.829571265E-2,-7.277627327E-3,2.166393399E-3,4.888898629E-2
2.861148458E0,-6.821710329E-2,5.778730139E-3,3.719121516E-2,7.791118911E-2
2.871077458E0,-3.927465575E-2,-3.718968026E-2,1.638331354E-2,5.651534186E-2
2.881005458E0,-3.875898158E-2,-3.360815104E-2,-1.834330022E-2,5.448158526E-2
