"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.296093750E4,3.785028354E-2
1.298437500E4,2.594303100E-2
1.300781250E4,2.598182841E-2
1.303125000E4,3.868100463E-3
1.305468750E4,2.233478207E-2
1.307812500E4,2.066884095E-2
1.310156250E4,3.395273837E-2
1.312500000E4,1.885759369E-2
1.314843750E4,1.025309048E-2
1.317187500E4,2.041148592E-2
1.319531250E4,1.285732085E-2
1.321875000E4,2.601328262E-2
1.324218750E4,9.624460571E-3
1.326562500E4,1.401747964E-2
1.328906250E4,2.131636310E-2
1.331250000E4,6.238352708E-3
1.333593750E4,1.397579694E-2
1.335937500E4,1.088145319E-2
1.338281250E4,2.722109604E-2
1.340625000E4,1.933634483E-2
1.342968750E4,2.259748566E-2
1.345312500E4,6.946959727E-3
1.347656250E4,2.313760830E-2
1.350000000E4,1.650696842E-2
1.352343750E4,1.914322557E-2
1.354687500E4,1.027602764E-2
1.357031250E4,9.096825628E-3
1.359375000E4,4.605125911E-3
1.361718750E4,4.785606480E-3
1.364062500E4,1.606697974E-2
1.366406250E4,8.840851417E-3
1.368750000E4,6.903024795E-3
1.371093750E4,1.235495352E-2
1.373437500E4,2.427327783E-2
1.375781250E4,1.862109395E-2
1.378125000E4,1.308071890E-2
1.380468750E4,2.564753353E-2
1.382812500E4,8.789614183E-3
1.385156250E4,2.866724301E-2
1.387500000E4,6.321900240E-3
1.389843750E4,1.834620713E-2
1.392187500E4,2.225063745E-2
1.394531250E4,1.976834134E-2
1.396875000E4,5.378439666E-3
1.399218750E4,3.181811290E-2
1.401562500E4,1.432614245E-2
1.403906250E4,1.214409671E-2
1.406250000E4,6.840088362E-3
1.408593750E4,7.292550497E-3
1.410937500E4,9.234356261E-3
1.413281250E4,9.498556503E-3
1.415625000E4,1.431535885E-2
1.417968750E4,4.841943865E-3
1.420312500E4,1.687547499E-2
1.422656250E4,1.689711664E-2
1.425000000E4,7.965405050E-3
1.427343750E4,1.649204680E-2
1.429687500E4,1.097288969E-2
1.432031250E4,1.691517486E-2
1.434375000E4,8.364487763E-3
1.436718750E4,2.976207192E-3
1.439062500E4,2.622705469E-2
1.441406250E4,1.200473436E-3
1.443750000E4,2.857839133E-2
1.446093750E4,1.293414458E-2
1.448437500E4,1.829131309E-2
1.450781250E4,9.560804596E-3
1.453125000E4,5.657289841E-3
1.455468750E4,2.013134470E-2
1.457812500E4,1.871344714E-2
1.460156250E4,1.875941798E-2
1.462500000E4,1.968176732E-2
1.464843750E4,6.088804897E-3
1.467187500E4,2.390553614E-2
1.469531250E4,1.710033041E-2
1.471875000E4,1.559375297E-2
1.474218750E4,1.904338053E-2
1.476562500E4,2.156963046E-2
1.478906250E4,1.909700510E-2
1.481250000E4,2.479293220E-2
1.483593750E4,8.683422451E-3
1.485937500E4,1.109406473E-2
1.488281250E4,1.670419767E-2
1.490625000E4,2.353031700E-2
1.492968750E4,4.666252382E-3
1.495312500E4,2.604150694E-3
1.497656250E4,1.808351529E-2
1.500000000E4,9.415888474E-3
1.502343750E4,1.188792140E-2
1.504687500E4,2.167953877E-2
1.507031250E4,4.388845379E-3
1.509375000E4,1.061481014E-2
1.511718750E4,2.724356401E-2
1.514062500E4,5.929027686E-3
1.516406250E4,1.290781374E-2
1.518750000E4,2.264316402E-2
1.521093750E4,5.029263715E-3
1.523437500E4,2.192218460E-2
1.525781250E4,2.187614459E-2
1.528125000E4,1.747622892E-2
1.530468750E4,1.628015522E-2
1.532812500E4,6.140208480E-3
1.535156250E4,1.367649900E-2
1.537500000E4,1.846164863E-2
1.539843750E4,2.156998993E-2
1.542187500E4,2.613145651E-2
1.544531250E4,7.010456261E-3
1.546875000E4,1.552198812E-2
1.549218750E4,2.529058435E-2
1.551562500E4,1.852221940E-2
1.553906250E4,2.980127218E-2
1.556250000E4,1.525890978E-2
1.558593750E4,9.313867506E-3
1.560937500E4,2.162239674E-2
1.563281250E4,3.593626812E-3
1.565625000E4,1.098792301E-2
1.567968750E4,2.182900567E-2
1.570312500E4,1.779087541E-2
1.572656250E4,1.916410776E-2
1.575000000E4,1.453766422E-2
1.577343750E4,1.380243962E-2
1.579687500E4,2.619858851E-2
1.582031250E4,1.783349354E-2
1.584375000E4,9.442661579E-3
1.586718750E4,2.628358888E-2
1.589062500E4,2.351099035E-2
1.591406250E4,1.623422355E-2
1.593750000E4,3.260059811E-3
1.596093750E4,8.562125806E-3
1.598437500E4,4.678159872E-3
1.600781250E4,2.965057020E-2
1.603125000E4,1.636295226E-2
1.605468750E4,1.508333840E-2
1.607812500E4,2.311956676E-2
1.610156250E4,2.261927329E-2
1.612500000E4,1.550242068E-2
1.614843750E4,2.162735828E-2
1.617187500E4,2.452447514E-2
1.619531250E4,1.066580439E-2
1.621875000E4,1.353311560E-2
1.624218750E4,1.654117229E-2
1.626562500E4,2.274516365E-2
1.628906250E4,2.591623309E-2
1.631250000E4,1.086976169E-2
1.633593750E4,1.556083155E-2
1.635937500E4,3.580975087E-2
1.638281250E4,3.174727406E-2
1.640625000E4,9.983699360E-3
1.642968750E4,1.387800348E-2
1.645312500E4,1.069774903E-3
1.647656250E4,5.418654243E-3
1.650000000E4,6.620224731E-3
1.652343750E4,5.230029997E-3
1.654687500E4,9.679843247E-3
1.657031250E4,9.445282847E-3
1.659375000E4,9.825464018E-3
1.661718750E4,1.634591026E-2
1.664062500E4,2.441949354E-2
1.666406250E4,8.705209000E-3
1.668750000E4,1.698313271E-2
1.671093750E4,6.147836809E-3
1.673437500E4,1.295042086E-2
1.675781250E4,1.051409199E-2
1.678125000E4,6.715704344E-3
1.680468750E4,1.305838983E-2
1.682812500E4,2.296875483E-2
1.685156250E4,1.787253910E-2
1.687500000E4,1.289467659E-2
1.689843750E4,1.498534052E-2
1.692187500E4,6.103600491E-3
